Report,Time,Keyword,Count,Type
1,2010-01-19 01:15:00,pap,1,location
1,2010-01-19 01:15:00,petionville,1,location
1,2010-01-19 01:15:00,haiti,1,location
1,2010-01-19 01:15:00,carribean supermarket,2,location
1,2010-01-19 01:15:00,please,1,entity
1,2010-01-19 01:15:00,souheil hage,1,entity
1,2010-01-19 01:15:00,caribbean market,1,entity
1,2010-01-19 01:15:00,adolpho prato,2,entity
1,2010-01-19 01:15:00,ecoute,1,entity
1,2010-01-19 01:15:00,appelle,2,action
1,2010-01-19 01:15:00,texting,1,action
1,2010-01-19 01:15:00,trapped,2,action
1,2010-01-19 01:15:00,show,1,action
1,2010-01-19 01:15:00,get,1,action
2,2010-01-19 01:12:00,pap,1,location
2,2010-01-19 01:12:00,carribean university,2,location
2,2010-01-19 01:12:00,haiti,1,location
2,2010-01-19 01:12:00,#5 delmas 29,1,location
2,2010-01-19 01:12:00,caraibean university,1,entity
2,2010-01-19 01:12:00,need,1,action
2,2010-01-19 01:12:00,eden,1,action
2,2010-01-19 01:12:00,rescuing,1,action
3,2010-01-19 01:08:00,haiti,1,location
3,2010-01-19 01:08:00,jeremie,1,location
3,2010-01-19 01:08:00,grand anse,1,location
3,2010-01-19 01:08:00,jeremie,1,entity
3,2010-01-19 01:08:00,wot,1,action
3,2010-01-19 01:08:00,don\'t,1,action
3,2010-01-19 01:08:00,died,1,action
3,2010-01-19 01:08:00,think,1,action
4,2010-01-19 13:20:00,dubois,1,location
4,2010-01-19 13:20:00,good,1,entity
4,2010-01-19 13:20:00,help,1,entity
4,2010-01-19 13:20:00,hunger,1,entity
4,2010-01-19 13:20:00,dubois,1,entity
4,2010-01-19 13:20:00,antoine,1,entity
4,2010-01-19 13:20:00,dibwa,1,entity
4,2010-01-19 13:20:00,bonswa,1,entity
4,2010-01-19 13:20:00,nou,1,entity
4,2010-01-19 13:20:00,se,1,entity
4,2010-01-19 13:20:00,need,1,action
4,2010-01-19 13:20:00,live,1,action
4,2010-01-19 13:20:00,abitan,1,action
4,2010-01-19 13:20:00,bezwen,1,action
5,2010-01-19 16:07:00,pap,1,location
5,2010-01-19 16:07:00,carrefour,1,location
5,2010-01-19 16:07:00,morin,2,location
5,2010-01-19 16:07:00,good,1,entity
5,2010-01-19 16:07:00,bonsoir,1,entity
5,2010-01-19 16:07:00,morin,2,entity
5,2010-01-19 16:07:00,taifer,1,entity
5,2010-01-19 16:07:00,qui,1,action
5,2010-01-19 16:07:00,assist,1,action
6,2010-01-19 13:35:00,mont saint nicolas,1,location
6,2010-01-19 13:35:00,port au prince,1,location
6,2010-01-19 13:35:00,marouj,2,entity
6,2010-01-19 13:35:00,department nord,1,entity
6,2010-01-19 13:35:00,depatmam,1,entity
6,2010-01-19 13:35:00,delma,1,entity
6,2010-01-19 13:35:00,mwen,2,entity
6,2010-01-19 13:35:00,destroyed,1,action
6,2010-01-19 13:35:00,lived,1,action
7,2010-01-19 13:52:00,pap,1,location
7,2010-01-19 13:52:00,haiti,1,location
7,2010-01-19 13:52:00,27,1,location
7,2010-01-19 13:52:00,delmas 16,2,location
7,2010-01-19 13:52:00,water,1,entity
8,2010-01-19 13:48:00,pap,1,location
8,2010-01-19 13:48:00,haiti,1,location
8,2010-01-19 13:48:00,delmas 16,2,location
8,2010-01-19 13:48:00,#27,1,location
8,2010-01-19 13:48:00,water,1,entity
8,2010-01-19 13:48:00,bonswa,1,entity
8,2010-01-19 13:48:00,need,1,action
8,2010-01-19 13:48:00,gen,1,action
8,2010-01-19 13:48:00,don\'t,2,action
9,2010-01-19 13:40:00,saint mark,1,location
9,2010-01-19 13:40:00,haiti,1,location
9,2010-01-19 13:40:00,desir st #88,1,location
9,2010-01-19 13:40:00,saint mark/sen mak,1,location
9,2010-01-19 13:40:00,saint marc,1,entity
9,2010-01-19 13:40:00,ruelle,1,entity
10,2010-01-19 13:34:00,torbeck,2,location
10,2010-01-19 13:34:00,haiti,1,location
10,2010-01-19 13:34:00,near les cayes,1,location
10,2010-01-19 13:34:00,torbeck,1,entity
10,2010-01-19 13:34:00,ddp,1,entity
10,2010-01-19 13:34:00,sourthern,1,entity
10,2010-01-19 13:34:00,leave,1,action
10,2010-01-19 13:34:00,mange,1,action
10,2010-01-19 13:34:00,moun,1,action
10,2010-01-19 13:34:00,dying,1,action
10,2010-01-19 13:34:00,alert,1,action
11,2010-01-19 17:49:00,st. nicholas hospital,1,location
11,2010-01-19 17:49:00,saint-marc,1,location
11,2010-01-19 17:49:00,st. nicholas,1,entity
11,2010-01-19 17:49:00,nou,1,entity
11,2010-01-19 17:49:00,nan,1,action
11,2010-01-19 17:49:00,send,1,action
11,2010-01-19 17:49:00,leaving,1,action
11,2010-01-19 17:49:00,mande,1,action
11,2010-01-19 17:49:00,bewen,1,action
11,2010-01-19 17:49:00,need,1,action
11,2010-01-19 17:49:00,come,1,action
12,2010-01-19 17:32:00,rue acacia,1,location
12,2010-01-19 17:32:00,near church of god boula,1,location
12,2010-01-19 17:32:00,rue christ-roi,1,location
12,2010-01-19 17:32:00,god boula,1,entity
12,2010-01-19 17:32:00,legliz de,1,entity
12,2010-01-19 17:32:00,acacia,1,entity
12,2010-01-19 17:32:00,woolio,1,entity
12,2010-01-19 17:32:00,yon,1,entity
12,2010-01-19 17:32:00,need,1,action
13,2010-01-19 15:24:00,tabarre 48,2,location
13,2010-01-19 15:24:00,food,1,entity
13,2010-01-19 15:24:00,please,1,entity
13,2010-01-19 15:24:00,mwen,2,entity
13,2010-01-19 15:24:00,augustin jn rosilien,1,entity
13,2010-01-19 15:24:00,live,1,action
13,2010-01-19 15:24:00,ni.dlo,1,action
13,2010-01-19 15:24:00,abite,1,action
14,2010-01-19 17:28:00,leogane,1,location
14,2010-01-19 17:28:00,st. matthieu,1,location
14,2010-01-19 17:28:00,poun,1,action
14,2010-01-19 17:28:00,rete,1,action
15,2010-01-19 15:28:00,port-au-prince,1,location
15,2010-01-19 15:28:00,nazon,1,location
15,2010-01-19 15:28:00,rue sylvie cator,1,location
15,2010-01-19 15:28:00,nazon,2,entity
15,2010-01-19 15:28:00,nou,1,entity
15,2010-01-19 15:28:00,sylvie cator street,1,entity
15,2010-01-19 15:28:00,need,1,action
16,2010-01-19 16:35:00,hinche,2,location
16,2010-01-19 16:35:00,francique,2,entity
16,2010-01-19 16:35:00,nou,1,entity
16,2010-01-19 16:35:00,hinche,1,entity
16,2010-01-19 16:35:00,need,1,action
16,2010-01-19 16:35:00,locate,1,action
16,2010-01-19 16:35:00,bezwen,1,action
17,2010-01-19 16:00:00,jean rabel,1,location
17,2010-01-19 16:00:00,jean rabel,1,entity
17,2010-01-19 16:00:00,food,1,entity
17,2010-01-19 16:00:00,please,1,entity
17,2010-01-19 16:00:00,nou,1,entity
17,2010-01-19 16:00:00,paske,1,action
17,2010-01-19 16:00:00,lost,1,action
17,2010-01-19 16:00:00,nan,1,action
17,2010-01-19 16:00:00,sove,1,action
17,2010-01-19 16:00:00,everything,1,action
17,2010-01-19 16:00:00,anyen,1,action
17,2010-01-19 16:00:00,come,1,action
17,2010-01-19 16:00:00,eat,1,action
18,2010-01-19 16:03:00,les cayes,1,location
18,2010-01-19 16:03:00,lycee philippe guerrier,1,location
18,2010-01-19 16:03:00,lycee philippe guerrier,1,entity
18,2010-01-19 16:03:00,philippe guerrier,1,entity
18,2010-01-19 16:03:00,bezwen,1,action
18,2010-01-19 16:03:00,please,1,action
18,2010-01-19 16:03:00,leave,1,action
18,2010-01-19 16:03:00,lokalize,1,action
18,2010-01-19 16:03:00,lyc,1,action
18,2010-01-19 16:03:00,need,1,action
19,2010-01-19 15:07:00,rue loubens,1,location
19,2010-01-19 15:07:00,bon repos,1,location
19,2010-01-19 15:07:00,bye,1,entity
19,2010-01-19 15:07:00,good,1,entity
19,2010-01-19 15:07:00,please,1,entity
19,2010-01-19 15:07:00,loubens,1,entity
19,2010-01-19 15:07:00,bon repo,1,entity
19,2010-01-19 15:07:00,paske,1,action
19,2010-01-19 15:07:00,bezwen,1,action
19,2010-01-19 15:07:00,thinking,1,action
19,2010-01-19 15:07:00,sivoupl,1,action
19,2010-01-19 15:07:00,gan,1,action
19,2010-01-19 15:07:00,need,1,action
19,2010-01-19 15:07:00,bye,1,action
19,2010-01-19 15:07:00,gen,1,action
20,2010-01-18 16:33:00,bon repos,2,location
20,2010-01-18 16:33:00,area of moya by the comissariat station,1,location
20,2010-01-18 16:33:00,route national 1,1,location
20,2010-01-18 16:33:00,croix-des-bouquets,1,location
20,2010-01-18 16:33:00,food,1,entity
20,2010-01-18 16:33:00,idushahidi,1,entity
20,2010-01-18 16:33:00,comissariat,1,entity
20,2010-01-18 16:33:00,mwen,1,entity
20,2010-01-18 16:33:00,bon repos,2,entity
20,2010-01-18 16:33:00,help,1,action
20,2010-01-18 16:33:00,get,2,action
20,2010-01-18 16:33:00,put,1,action
20,2010-01-18 16:33:00,please,2,action
20,2010-01-18 16:33:00,vil,1,action
20,2010-01-18 16:33:00,located,1,action
20,2010-01-18 16:33:00,live,1,action
20,2010-01-18 16:33:00,know,1,action
20,2010-01-18 16:33:00,want,1,action
20,2010-01-18 16:33:00,need,1,action
20,2010-01-18 16:33:00,found,1,action
20,2010-01-18 16:33:00,havent,1,action
20,2010-01-18 16:33:00,wete,1,action
20,2010-01-18 16:33:00,road,1,action
21,2010-01-19 12:30:00,pap,1,location
21,2010-01-19 12:30:00,delmas 33 z silo,1,location
21,2010-01-19 12:30:00,silo z,1,location
21,2010-01-19 12:30:00,haiti,1,location
21,2010-01-19 12:30:00,delmas 33,1,location
21,2010-01-19 12:30:00,delmas,1,location
21,2010-01-19 12:30:00,mwen,1,entity
21,2010-01-19 12:30:00,silo,1,entity
21,2010-01-19 12:30:00,nothing,1,action
21,2010-01-19 12:30:00,kado,1,action
21,2010-01-19 12:30:00,gen,1,action
21,2010-01-19 12:30:00,moun,1,action
22,2010-01-19 11:59:00,pap,1,location
22,2010-01-19 11:59:00,delmas 9,2,location
22,2010-01-19 11:59:00,haiti,1,location
22,2010-01-19 11:59:00,rue du cosquer,1,location
22,2010-01-19 11:59:00,help,1,entity
22,2010-01-19 11:59:00,rue du,2,entity
22,2010-01-19 11:59:00,femmes et,1,entity
22,2010-01-19 11:59:00,hypoglycemiants,1,entity
22,2010-01-19 11:59:00,besoin,1,entity
22,2010-01-19 11:59:00,somniferes,1,entity
22,2010-01-19 11:59:00,milk,1,entity
22,2010-01-19 11:59:00,anxiolitiques,1,entity
22,2010-01-19 11:59:00,lait,1,entity
22,2010-01-19 11:59:00,need tents,1,entity
22,2010-01-19 11:59:00,antibiotiques,1,entity
22,2010-01-19 11:59:00,hypotenseurs,1,entity
22,2010-01-19 11:59:00,sugar,1,entity
22,2010-01-19 11:59:00,health,1,entity
22,2010-01-19 11:59:00,savon,1,entity
22,2010-01-19 11:59:00,hommes,1,entity
22,2010-01-19 11:59:00,adress,1,entity
22,2010-01-19 11:59:00,sardines,1,entity
22,2010-01-19 11:59:00,farine,1,entity
22,2010-01-19 11:59:00,oil,1,entity
22,2010-01-19 11:59:00,wheat,1,entity
22,2010-01-19 11:59:00,besoin de tentes,1,entity
22,2010-01-19 11:59:00,flour,1,entity
22,2010-01-19 11:59:00,pois,1,entity
22,2010-01-19 11:59:00,peas,1,entity
22,2010-01-19 11:59:00,huiles,1,entity
22,2010-01-19 11:59:00,jus,1,entity
22,2010-01-19 11:59:00,address,1,entity
